OBJECTID,COUNTY,COUNTY_LABEL,CO,GNIS_NAME,GNIS,FIPSSTCO,FIPSCO,ACRES,SQ_MILES,POP2010,POP2000,POP1990,POP1980,POPDEN2010,POPDEN2000,POPDEN1990,POPDEN1980,REGION,GLOBALID,Shape_Length,Shape_Area
1,ATLANTIC,Atlantic County,ATL,County of Atlantic,882270,34001,1,390815.40421524,610.64906917,274549,252552,275372,204615,450,414,451,335,COASTAL,{2B4609FC-DADB-42FC-A1FF-27F91F0D7FFF},650228.153906135,17023850912.0082
2,BERGEN,Bergen County,BER,County of Bergen,882271,34003,3,153490.27518208,239.828555,905116,884118,829592,849843,3774,3686,3459,3544,NORTHEASTERN,{6C300549-2AEC-4E43-8767-AE1D25DFAB28},443326.122020939,6686009642.81261
3,BURLINGTON,Burlington County,BUR,County of Burlington,882272,34005,5,524903.33961468,820.16146825,448734,423394,395066,362542,547,516,482,442,SOUTHERN,{3A8777FD-DB03-4C78-9AE8-E1330AEE030A},788705.26953288,22864698014.5489
4,CAMDEN,Camden County,CAM,County of Camden,882273,34007,7,145598.48807931,227.49763765,513657,508932,532498,471650,2258,2237,2341,2073,SOUTHERN,{03A60D89-CC09-4344-A7D6-D7105F45FF7A},494949.424443739,6342244771.67975
5,CAPE MAY,Cape May County,CAP,County of Cape May,882274,34009,9,183126.57423977,286.13527229,97265,102326,95089,82266,340,358,332,288,COASTAL,{A48DF391-9443-4EA8-8EE8-93FB60595545},514564.858770721,7976961665.94138
6,CUMBERLAND,Cumberland County,CUM,County of Cumberland,882275,34011,11,321150.3215718,501.79737752,156898,146438,138053,132866,313,292,275,265,SOUTHERN,{B4C6FA6E-1D63-46C2-B6D1-2BA605B22988},704221.618565395,13989252050.4918
7,ESSEX,Essex County,ESS,County of Essex,882276,34013,13,83034.85948871,129.74196797,783969,793633,748281,850451,6043,6117,5767,6555,NORTHEASTERN,{40D9DFA9-3B22-4F3D-B54B-E04EBAF13FC8},344556.557699698,3616984011.34865
8,GLOUCESTER,Gloucester County,GLO,County of Gloucester,882277,34015,15,215073.16371657,336.05181835,288288,254673,230082,199917,858,758,685,595,SOUTHERN,{3BB16322-17D8-454B-B0D5-4D4997609F46},560856.932421256,9368549537.18303
9,HUDSON,Hudson County,HUD,County of Hudson,882278,34017,17,32982.40079451,51.53500125,634266,608975,553099,556972,12307,11817,10732,10808,NORTHEASTERN,{33104417-D57B-4869-967D-278D52B998FE},381357.990132073,1436707631.76097
10,HUNTERDON,Hunterdon County,HUN,County of Hunterdon,882228,34019,19,279879.33860181,437.31146662,128349,121989,107776,87361,293,279,246,200,CENTRAL,{60FDEF08-5B6B-407D-BA3C-4D807D52C33A},561329.127535758,12191495223.3677
11,MERCER,Mercer County,MER,County of Mercer,882229,34021,21,146442.33937267,228.8161553,366513,350761,325824,307863,1602,1533,1424,1345,CENTRAL,{4C7B222D-F8AD-468F-AD4B-7E3AF5D22F2D},483944.714041753,6379002786.98549
12,MONMOUTH,Monmouth County,MON,County of Monmouth,882910,34025,25,310834.26487994,485.67853894,630380,615301,638345,582982,1298,1267,1314,1200,COASTAL,{218AADFC-813E-45B2-996A-0845F97023D4},733254.795630843,13539886418.4621
13,OCEAN,Ocean County,OCE,County of Ocean,882279,34029,29,485078.44083078,757.9350639,576567,510916,443424,356502,761,674,585,470,COASTAL,{16CE016A-5C55-47BB-B250-C5434248A337},722804.165669911,21129932362.6057
14,PASSAIC,Passaic County,PAS,County of Passaic,882232,34031,31,126926.84604766,198.32319698,501226,489049,453060,447585,2527,2466,2284,2257,NORTHEASTERN,{A91526F5-EB4B-40DD-811D-49BA87200902},492851.319686661,5528911298.12415
15,SALEM,Salem County,SAL,County of Salem,882233,34033,33,222158.65604718,347.12290012,66083,64285,65294,64676,190,185,188,186,SOUTHERN,{19E080BE-B65B-422E-8786-9056ADF705FA},664545.338596067,9677192348.52971
16,SOMERSET,Somerset County,SOM,County of Somerset,882234,34035,35,195127.36318374,304.88650501,323444,297490,240279,203129,1061,976,788,666,CENTRAL,{E7D6938F-602F-43FE-AFC2-E173B852FC42},541587.507240202,8499713941.32613
17,SUSSEX,Sussex County,SUS,County of Sussex,882236,34037,37,342700.65152475,535.46976808,149265,144166,138991,123621,279,269,260,231,NORTHWESTERN,{F506BF2C-B656-40EC-BE53-DB4257815385},525590.867595698,14927980668.3163
18,UNION,Union County,UNI,County of Union,882235,34039,39,67438.59259462,105.37280094,536499,522541,493819,504094,5091,4959,4686,4784,NORTHEASTERN,{C10B6F7F-A968-4E70-AB95-BDEBBBE5AF5C},321814.398489641,2937613342.93307
19,WARREN,Warren County,WAR,County of Warren,882237,34041,41,232042.9672335,362.56713635,108692,102437,91607,84429,300,283,253,233,NORTHWESTERN,{ACF767AE-103B-44CA-8886-186B93090C3A},554711.152656547,10107751221.5653
20,MORRIS,Morris County,MOR,County of Morris,882231,34027,27,308084.42953899,481.38192122,492276,470212,421353,407630,1023,977,875,847,NORTHEASTERN,{23A0CF92-4868-4057-9947-C747673ED251},750263.524684183,13420104070.1413
21,MIDDLESEX,Middlesex County,MID,County of Middlesex,882230,34023,23,202859.56153099,316.96806493,809858,750162,671780,595893,2555,2367,2119,1880,CENTRAL,{588B6020-CE85-42FF-BBF0-16637E3D4F68},505626.821647062,8836527154.07515
